city,county
Barrington,Bristol
Bristol,Bristol
Burrillville,Providence
Central Falls,Providence
Charlestown,Washington
Coventry,Kent
Cranston,Providence
Cumberland,Providence
East Greenwich,Kent
East Providence,Providence
Exeter,Washington
Foster,Providence
Glocester,Providence
Hopkinton,Washington
Jamestown,Newport
Johnston,Providence
Lincoln,Providence
Little Compton,Newport
Middletown,Newport
Narragansett,Washington
Newport,Newport
New Shoreham,Washington
North Kingstown,Washington
North Providence,Providence
North Smithfield,Providence
Pawtucket,Providence
Portsmouth,Newport
Providence,Providence
Richmond,Washington
Scituate,Providence
Smithfield,Providence
South Kingstown,Washington
Tiverton,Newport
Warren,Bristol
Warwick,Kent
Westerly,Washington
West Greenwich,Kent
West Warwick,Kent
Woonsocket,Providence